Species	Taxon Group	Common Name	Estimated Genome Size (Mb)	Log Estimated Genome Size 	Assembly Genome Size (Mb)	Log Assembly Genome Size	Genome Size in Database (Mb)	Additional Measurements (Mb)	Difference Between Estimated and Assembly Size (Mb)	Log Difference Between Estimated and Assembly Size	(Est-Ass/Est)*100	Genomic GC content (%)	Gene Number	Log Gene Number	Average Coding Size/Gene (Exonic bp)	Log Average Coding Size	Coding Amount(Exonic Mb)	Log Coding Amount	Coding Proportion of Estimated Genome Size 	Pseudogene Number	Average Exon Size (bp)	Log Average Exon Size	Average Intron Size (bp)	Log Average Intron Size	Intron Number	Log Intron Number	Intron Amount (Mb)	Log Intron Amount	Introns Proportion Of Assembly	Introns Proportion of Estimate	TE Amount in Assembly (Mb)	Log TE Amount in Assembly	TE Number	Log TE Number	TE Proportion of Estimate	TE Proportion of Assembly	Repeat Amount in Assembly (Mb)	Log Repeat Amount in Assembly	Repeats Prop of Assembly	Repeats Proportion of Estimated Genome Size	Chromosome Number (1n)	Estimated Genome Size/Chromosome Number	Coverage (x)
Takifugu rubripes	Animal	Tiger puffer	391.2	2.5923988461	365	2.5622928645	391.2		26.2	1.4183012913	6.6973415133		18523	4.2677113267	1397	3.1451964061	31.3	1.4955443375	0.0800102249		163	2.2121876044	577	2.7611758132	187962	5.2740700575	10.8	1.0334237555	0.0295890411	0.027607362	23.68	1.3743816981	16810	4.2255677134	0.0605316973	0.0648767123	31.609	1.4998107565	0.0866	0.0808001022	22	17.7818181818	8.5
Tetraodon nigroviridis	Animal	Spotted green puffer	420.54	2.6238073104	370	2.5682017241	420.54		50.54	1.7036352376	12.0178817711		19602	4.2923003849	1215	3.0845762779	29.7	1.4727564493	0.0706234841	3250	178	2.2504200023	568	2.7543483357	187875	5.2738689936	9.04	0.9561684305	0.0244324324	0.0214961716											21	20.0257142857	8.3
Geospiza magnirostris	Animal	Large ground finch	1250	3.096910013	991	2.9960736545	NA	1250	259	2.4132997641	20.72	40.08	13291	4.123557658																	51.25	1.7096938697			0.041	0.051715439							115
Ciona savignyi	Animal	Pacific transparent sea squirt	174	2.2405492483	157	2.1958996524	NA	174	17	1.2304489214	9.7701149425		11616	4.0650566034																											14	12.4285714286	12.7
Tetranychus urticae	Animal	Two-spotted spider mite	78.24	1.8934288418	89.6	1.9523080097	78.24	90	-11.36		-14.5194274029		18414	4.2651481388	1060	3.0253058653	26.29	1.4197905861	0.3360173824		374	2.5728716022	400	2.6020599913	51700	4.7134905431	20.68	1.3155505344	0.2308035714	0.2643149284	9.09	0.9585638832	2243	3.3508292736	0.1161809816	0.1014508929					3	26.08	8.05
Daphnia pulex	Animal	water flea	234.72	2.3705500965	200	2.3010299957	234.72		34.72	1.5405797165	14.7920927062		30907	4.4900568521	1320	3.1205739312					210	2.3222192947	170	2.2304489214	18485	4.2668194549	31.425	1.4972752864	0.157125	0.1338829243	17.6	1.2455126678	7821	3.8932622859	0.0749829584	0.088					12	19.56	8.7
Drosophila suzukii	Animal		220.6	2.3436055081	235.5	2.3719909115	220.6		-14.9		-6.754306437		13583	4.1329957007																	10.81	1.033825694			0.0490027199	0.0459023355							176
Drosophila simulans	Animal		141.8	2.1516762308	137.8	2.1392492176	141.8		4	0.6020599913	2.8208744711		16003	4.2042014052	1637.193	3.2140998791	26.2	1.4183012913	0.1847672779								19.6	1.2922560714	0.1422351234	0.1382228491							3.87	0.587710965	0.02808418	0.0272919605	4	35.45	2.9
Drosophila sechellia	Animal		166.26	2.2207877762	166.6	2.2216749971	166.26		-0.34		-0.2044989775		16905	4.2280151751	1674.06	3.2237710195	28.3	1.4517864355	0.1702153254								21.9	1.3404441148	0.131452581	0.1317214002							6.1	0.785329835	0.0366146459	0.0366895224	4	41.565	4.9
Drosophila yakuba	Animal		169.52	2.2292209437	165.7	2.2193225084	169.52		3.82	0.5820633629	2.2534214252		16444	4.2160074681	1696.667	3.2295966129	27.9	1.4456042033	0.1645823502								22.9	1.3598354823	0.1382015691	0.1350873053							20.41	1.3098430047	0.1231744116	0.120398773	4	42.38	9.1
Drosophila melanogaster	Animal	Vinegar fly	180	2.2552725051	120	2.079181246	180		60	1.7781512504	33.3333333333	41.1	14422	4.1590254912	1716	3.2345172835	17.1	1.2329961104	0.095	2208	410	2.6127838567	888	2.9484129658	44698	4.6502880912	48.6	1.6866362693	0.405	0.27	36.792	1.5657533966	9409	3.9735434685	0.2044	0.3066	9.63	0.9836262871	0.08025	0.0535	4	45	
Aedes aegypti	Animal	Yellow fever mosquito	942.14	2.9741154428	1376	3.1386184339	942.14		-433.86		-46.0504808203	38.2	15704	4.1960102866	1397	3.1451964061	21.938	1.3411970321	0.0232852867		405	2.6074550232	3793	3.5789828427	51076	4.7082168783					642.7	2.8080082999	625810	5.7964424986	0.6821703781	0.4670784884	963.2	2.9837164739	0.7	1.0223533657	3	314.0466666667	7.6
Anopheles darlingi	Animal	neotropical malaria vector	200.49	2.3020927158	173.9	2.240299582	200.49		26.59	1.4247183373	13.2625068582	48.15	10444	4.0188668632	1735	3.2392994791	18.2	1.260071388	0.0907775949												4.75	0.6766936096	12199	4.0863242313	0.0236919547	0.0273145486					3	66.83	20
Anopheles gambiae	Animal		264.06	2.4217026189	278.25	2.444435173	264.06		-14.19		-5.3737786867	35.2	12670	4.1027766149	1154	3.0622058088	19.27	1.2848817147	0.0729758388	4019	378	2.5774917998	875	2.942008053	38051	4.5803660747	42.99	1.6333674451	0.1545013477	0.1628039082	48.4	1.6848453616	11368	4.0556840649	0.1832916761	0.1739442947	37.23246	1.5709217316	0.1338093801	0.141	3	88.02	10.2
Tribolium castaneum	Animal	Flour beetle	202.935	2.3073569558	160	2.2041199827	202.935		42.935	1.6328114672	21.1570207209	33	16404	4.2149497606	1370	3.1367205672	22.473	1.3516610518	0.1107398921		310	2.4913616938	1000	3							9.6	0.982271233			0.0473057876	0.06	52.8	1.7226339225	0.33	0.2601818316	10	20.2935	7.3
Pediculus humanus	Animal	Body louse	107.58	2.0317315399	110	2.0413926852	107.58	103-109	-2.42		-2.2494887526	28	10773	4.0323366598	1545	3.1889284838	16.6	1.220108088	0.1543037739		240	2.3802112417	294	2.4683473304	58522	4.7673191598	17.2	1.2355284469	0.1563636364	0.1598810188	1.1	0.0413926852	3558	3.5512059437	0.0102249489	0.01	7.7	0.8864907252	0.07	0.0715746421			8
Nasonia vitripennis	Animal	Jewel wasp	332.52	2.5218177718	239.8	2.3798491788	332.52		92.72	1.967173423	27.8840370504				1510	3.1789769473					260	2.414973348	1286	3.1092409686							11.547	1.0624691658	152371	5.1829023178	0.0347257308	0.0481526272	71.7145	1.8556069748	0.299059633	0.2156697342	6	55.42	6
Apis mellifera	Animal	Honeybee	262	2.4183012913	236	2.372912003	229.83	262	26	1.414973348	9.9236641221	33	10157	4.0067654525	1627	3.2113875529	16.525	1.2181414682	0.0630725191		252	2.4014005408	1235.85	3.0919657619	54818	4.7389231865	32.3	1.5092025223	0.1368644068	0.1232824427							36.108	1.5576034338	0.153	0.1378167939	16	16.375	8
Bombyx mori	Animal	Silkmoth	513.45	2.7104981582	428.7	2.6321534835	513.45	450-493	84.75	1.9281397069	16.5059888986	32.54	18510	4.2674064188	1224	3.0877814178	22.656	1.355183236	0.0441250365		225	2.3521825181	1082	3.0342272608							212	2.3263358609			0.4128931736	0.4945183112					28	18.3375	3
Acyrthosiphon pisum	Animal	Pea aphid	517	2.7134905431	464	2.6665179806	303.18	517	53	1.7242758696	10.251450677	29.6	34604	4.5391263033	899	2.9537596917	35.7	1.5526682161	0.0690522244		221	2.3443922737	1121	3.0496056126							196.46	2.2932741397			0.38	0.4234051724					4	129.25	15
Heliconius melpomene	Animal	Postman butterfly	293.4	2.4674601095	269	2.42975228	293.4		24.4	1.3873898263	8.3162917519		12669	4.1027423361																	67.26	1.827756863			0.2292433538	0.2500371747							22
Acropora digitifera	Animal	coral	419	2.622214023	419	2.622214023	NA	420			?	39	23668	4.3741615606	1610	3.206825876	38.105	1.580981966	0.0909427208		230	2.361727836									54.051	1.7328037333			0.129	0.129					14	29.9285714286	
Strongylocentrotus purpuratus	Animal	Purple sea urchin	870.42	2.9397288614	814	2.9106244049	870.42	800	56.42	1.7514330818	6.4819282645	36.9	27350	4.4369573307																	112.5	2.0511525224			0.1292479493	0.1382063882	146.52	2.16589691	0.18	0.1683325291	21	41.4485714286	8.3
Caenorhabditis elegans	Animal		92.91	1.9680624601	100.286	2.0012403094	92.91		-7.376		-7.9388655688	35.4	20541	4.3126215826	1323	3.1215598442	27.175	1.4341695528	0.2924873534	2445	200	2.3010299957	445	2.648360011	63820	4.8049567999	28.4	1.45331834	0.2831900764	0.3056721558	10.31	1.0132586653			0.1109676031	0.1028059749	12.2123	1.0867974644	0.1217747243	0.1314422559	6	15.485	6
Schistosoma mansoni	Animal	blood fluke	254.28	2.4053122028	363	2.559906625	254.28		-108.72		-42.7560169891		11809	4.0722131226	1260.31	3.1004773822	14.883	1.1726904818	0.058529967		222	2.3463529745	2407	3.3814760903	56101	4.7489706026	135.036	2.1304495649	0.372	0.5310523832							145.2	2.1619666164	0.4	0.571024068	8	31.785	5
Hydra magnipapillata	Animal	Hydra	1050	3.0211892991	1050	3.0211892991	NA				?		19966	4.3002910668																	441.945	2.6453682248			0.4209	0.4209	646.59	2.8106289836	0.6158	0.6158	15	70	
Nematostella vectensis	Animal	sea anemone	224.94	2.3520666908	357	2.5526682161	224.94	450	-132.06		-58.7089890638		18000	4.2552725051		3.0423392046	106.9929	1.2976117097	0.4756508402		208	2.318063335	800	2.903089987							89.4999	1.9518225501			0.3978834356	0.2507					15	14.996	7.8
Trichoplax adhaerens	Animal		39.12	1.5923988461	98.06	1.9914918889	39.12		-58.94		-150.6646216769		11514	4.0612262251	1362	3.1341771076	15.682	1.1954014495	0.4008691207		163.3	2.2129861847	285.6	2.4557582031							0.1274	-0.894830572			0.0032566462	0.0012992046					6	6.52	8
Dirofilaria immitis 	Animal	canine heartworm	95	1.9777236053	84.2	1.9253120915	NA		10.8	1.0334237555	11.3684210526	28.3	10179	4.0077051144	1488.947	3.172879239	15.156	1.1805845966	0.1595368421																								170
Ascaris suum 	Animal	roundworm	244.5	2.3882788635	272.78	2.435812525	244.5	309	-28.28		-11.5664621677	37.9	18500	4.2671717284	983.2	2.9926418699	18.231	1.2608104911	0.0745644172		153	2.1846914308	1081	3.033825694	109479	5.0393308218	118.347	2.0731572534	0.4338551213	0.4840368098	11.938	1.0769315746			0.0488261759	0.0437642056	11.96	1.0777311797	0.0438448567	0.0489161554	24	10.1875	90
Lottia gigantea 	Animal	owl limpet	420.54	2.6238073104	348	2.5415792439	420.54		72.54	1.8605775512	17.249250963	33	23800	4.3765769571	1278	3.1065308538	30.416	1.4831020995	0.072326057		213	2.3283796034	787	2.8959747324							15.36	1.1863912157	61415	4.7882744562	0.0365244685	0.044137931	72.384	1.8596425789	0.208	0.172121558			8.87
Capitella teleta 	Animal	polychaete	324	2.5105450102	324	2.5105450102	NA				?	40	32389	4.5103975395	1082.9	3.0345883537	35.074	1.5449852976	0.1082530864		221	2.3443922737	291	2.463892989							23.91	1.3785795761	81592	4.9116475788	0.0737962963	0.0737962963	100.6344	2.0027464616	0.3106	0.3106			
Helobdella robusta 	Animal	leech	352.08	2.5466413556	228	2.357934847	352.08		124.08	2.0937017848	35.2419904567	33	23400	4.3692158574	1238.3	3.0928258729	28.976	1.462038433	0.0822994774		203	2.3074960379	526	2.7209857442							28.82	1.4596939765	222919	5.3481470862	0.0818563963	0.1264035088	76.1292	1.8815512661	0.3339	0.2162269939	9	39.12	7.92
Pristionchus pacificus	Animal	necronemic nematode	166.26	2.2207877762	169	2.2278867046	166.26		-2.74		-1.6480211717		23500	4.3710678623																							28.73	1.458335626	0.17	0.172801636	6	27.71	8.92
Pinctada fucata 	Animal	pearl oyster	1150	3.0606978404	1124	3.0507663112	NA		26	1.414973348	2.2608695652	34	23257	4.3665536929	1884.8	3.2752652731	43.835	1.6418210109	0.0381173913		588.7	2.7698940358									35.39	1.5488805626			0.030773913	0.0314857651	111.78	2.0483641053	0.0994483986	0.0972	14	82.1428571429	40
Crassostrea gigas 	Animal	Pacific oyster	948.66	2.9771105891	446	2.6493348587	948.66	637	502.66	2.7012743269	52.9863175426		28027	4.4475766135																	48.64	1.6869935663			0.051272321	0.109058296	202	2.3053513694	0.4529147982	0.212931925	10	94.866	100
Mammuthus primigenius	Animal	Mammoth	4700	3.6720978579	3334.4	3.5230176973	NA		1365.6	3.1353235081	29.0553191489																				2054.37	3.3126786644			0.4371	0.6161138436							
Monodelphis domestica	Animal	Opossum	3550	3.5502283531	3475	3.5409548089	NA	3500-3600	75	1.8750612634	2.1126760563		21327	4.3289297689																	1878.12	3.2737233375			0.5290478873	0.5404661871					9	394.4444444444	7.33
Pantholops hodgsonii 	Animal	Tibetan antelope	2750	3.4393326938	2698	3.4310419453	NA		52	1.7160033436	1.8909090909		21426	4.3309411006	1417	3.1513698502	30.106	1.4786530573	0.0109476364		173	2.2380461031	3343	3.5241363766							920.96	2.9642407679			0.3348945455	0.3413491475					30	91.6666666667	67
Xiphophorus maculatus	Animal	platyfish	885.09	2.946987434	669	2.8254261178	885.09	750-950	216.09	2.3346346695	24.4144663255		20379	4.3091828693						28											45	1.6532125138			0.0508422872	0.067264574	107.04	2.0295461004	0.16	0.1209368539	23	38.482173913	19.6
Culex quinquefasciatus	Animal	southern house mosquito	528.12	2.7227326146	579	2.7626785637	528.12		-50.88		-9.6341740514	37.42	18883	4.2760709931	1317.2	3.119651722	24.872	1.395710709	0.0470953571		356	2.551449998	1043	3.0182843084	52211	4.7177620114					162.12	2.2098365951			0.3069756873	0.28	353.19	2.5480083987	0.61	0.6687684617	3	176.04	8
Petromyzon marinus	Animal	Sea lamprey	2019.57	3.3052589108	816	2.9116901588	2019.57		1203.57	3.080471354	59.5953594082	46	26046	4.4157410362																	247.656	2.3938488542			0.1226280842	0.3035	289.3536	2.46142889	0.3546	0.1432748555	84	24.0425	5
Canis familiaris	Animal	Dog	3051.36	3.4844934488	2385	3.3774883834	3051.36	2445	666.36	2.8237089195	21.838131194	41	19856	4.2978917642						12852											969.687	2.9866315733	1154000	6.0622058088	0.3177884615	0.4065773585	1042.566	3.0181035577	0.4371345912	0.3416725657	39	78.24	7
Ficedula albicollis 	Animal	flycatcher	1130	3.0530784435	1130	3.0530784435	NA				?		15303	4.1847765783																	52.206	1.717720419			0.0462	0.0462	120.684	2.0816496962	0.1068	0.1068	27	41.8518518519	
Ficedula hypoleuca	Animal	flycatcher	1130	3.0530784435	1130	3.0530784435	NA				?		15303	4.1847765783																	52.206	1.717720419			0.0462	0.0462	120.684	2.0816496962	0.1068	0.1068	27	41.8518518519	
Felis catus	Animal	house cat	3039.624	3.4828198649	2364	3.3736474722	3039.624	2800	675.624	2.8297050685	22.2272228407		21865	4.3397494817	1600.06	3.2041362684	34.985	1.5438818782	0.0115096472		172.35	2.2364112877	4254.37	3.6288352575							980.5872	2.9914862199			0.3226014797	0.4148	1316.748	3.1195026674	0.557	0.4331943688	19	159.9802105263	2
Balaenoptera acutorostrata scammoni	Animal	North Pacific minke whale	2442	3.3877456596	2442	3.3877456596	NA				?	40.9	20605	4.3139726189	1452.3918	3.1620837883	29.927	1.4760631836	0.0122551188		176.69	2.2472119707	3638.74	3.5609510249							897.12	2.9528505388	2227864	6.3478886758	0.3673710074	0.3673710074	911.8428	2.9599199732	0.3734	0.3734	22	111	
Adineta vaga	Animal	bdelloid rotifer	244.5	2.3882788635	244	2.3873898263	244.5		0.5	-0.3010299957	0.2044989775		49300	4.6928469193	1291.765	3.1111835133	63.684	1.8040303337	0.2604662577		225	2.3521825181	99	1.9956351946	229212	5.3602373506	22.692	1.3558727749	0.093	0.092809816	4.7678	0.6783180293	3992	3.6011905326	0.0195002045	0.0195401639					12	20.375	
Locusta migratoria	Animal	locust	6285.9	3.7983674677	6500	3.8129133566	5762.376	6285.9	-214.1		-3.4060357308		17307	4.2382217937	1160	3.0644579892	20.076	1.302677187	0.0031938147		201	2.3031960574	11159	4.0476252776							3310.15494	3.5198483225			0.5266	0.5092546062	3780	3.5774917998	0.5815384615	0.6013458693	12	523.825	114
Oryzias latipes	Animal	medaka fish	1009.785	3.0042289151	764	2.8830933586	1009.785		245.785	2.3905553748	24.3403298722	40.53	20141	4.3040810295	1414	3.1504494095	20.651	1.3149410867	0.0204508881		179	2.252853031					110.432	2.0430949376	0.1445445026	0.1093618939	53.48	1.7281913986			0.0529617691	0.07	134	2.1271047984	0.1753926702	0.1327015157	24	42.074375	0.9
Cynoglossus semilaevis	Animal	half-smooth tongue sole	520	2.7160033436	477	2.678518379	NA	520	43	1.6334684556	8.2692307692		21516	4.3327615356	1462	3.1649473726	31.456	1.4977034962	0.0604923077		168	2.2253092817	925	2.9661417327							27.9045	1.4456742451			0.0536625	0.0585					21	24.7619047619	117
Gydrodactylus salaris	Animal	Salmon parasite	120	2.079181246	67.4	1.8286598965	NA		52.6	1.7209857442	43.8333333333		15488	4.18999534	1156	3.0629578341	17.904	1.2529500692	0.1492		289	2.4608978428	659	2.8188854146													17.30832	1.2382549159	0.2568	0.144236			120
Acanthoscurria geniculata	Animal	Brazilian white knee tarantula	6000	3.7781512504	5787	3.7624534824	NA		213	2.3283796034	3.55	39.1									296	2.4712917111	9306	3.9687630482													3900	3.591064607	0.6739243131	0.65			40
Stegodyphus mimosarum	Animal	African social velvet spider	2999	3.4769764658	2880	3.4593924878	NA		119	2.0755469614	3.9679893298	33.6	27235	4.4351273796							230	2.361727836	8058	3.9062272631													1374.45	3.1381289456	0.4772395833	0.4583027676			91
Aquila chrysaetos	Animal	golden eagle	1369.2	3.1364668905	1548.5	3.1899112097	1369.2		-179.3		-13.0952380952		16571	4.2193487173	1229.8	3.0898344887	20.379	1.3091828693	0.0148838738		143	2.1553360375	2646	3.4225898399							71.8504	1.8564291902			0.0524761905	0.0464	92	1.9637878273	0.0594123345	0.0671925212			88
Limulus polyphemus	Animal	horseshoe crab	2700	3.4313637642	2740	3.4377505628	2738.4		-40		-1.4814814815	33.3																															18
Pleurobrachia bachei	Animal	Pacific sea gooseberry	170	2.2304489214	156.146	2.1935308634	NA	160-180	13.854	1.1415751833	8.1494117647	35.6	19523	4.2905465543	1055	3.0232524596	27.33	1.4366396317	0.1607647059		211	2.3242824553	508	2.7058637123	107263	5.0304499394	54.49	1.7363168079	0.3489682733	0.3205294118	13.27241	1.1229497891			0.078073	0.085							200
Zootermopsis nevadensis	Animal	dampwood termite	567.24	2.7537668484	493.5	2.693287157	567.24	562	73.74	1.8677031333	12.9997884493		17737	4.248880166	1177	3.0707764628	20.876	1.3196472882	0.0368027643		210	2.3222192947	1595	3.2027606874																			98
Globodera pallida	Animal	plant cyst nematode	100	2	124.7	2.0958664535	NA	100	-24.7		-24.7	36.7	16419	4.2153467029	1081.35	3.0339662846	17.755	1.2493206766	0.17755		135	2.1303337685	190	2.278753601							2.24	0.3502480183	160344	5.2050527135	0.0224	0.0179631115	21.199	1.3263153749	0.17	0.21199	9	11.1111111111	8
Glossina morsitans	Animal	tsetse fly	528.12	2.7227326146	366	2.5634810854	528.12		162.12	2.2098365951	30.6975687344		12308	4.0901874876																	51.2034	1.7092987999			0.0969541013	0.1399							160
Spalax galili	Animal	blind mole rat	3040	3.4828735836	3062	3.4860051864	NA		-22		-0.7236842105	41.23	22168	4.3457265128	1531.71	3.1851765477	33.955	1.5309037348	0.0111694079		183	2.2624510897	4447	3.6480671294													1343.34	3.1281859467	0.4387132593	0.4418881579	26	116.9230769231	86
Ovis aries	Animal	sheep	3007.35	3.4781839749	2610	3.4166405073	3007.35		397.35	2.5991732174	13.2126290588	41.9	20921	4.3205824395	1559.02	3.1928516866	32.616	1.5134306984	0.0108454287	291	162.15	2.209916953	3918.68	3.5931398004							1113.687	3.0467631502			0.3703217118	0.4267					27	111.3833333333	142
Macaca fascicularis	Animal	crab-eating macaque	3354.54	3.5256329748	2850	3.45484486	3354.54		504.54	2.7028956029	15.040512261																														21	159.74	68
Macaca mulatta lasiota	Animal	Chinese rhesus macaque	2840	3.45331834	2840	3.45331834	NA				?																														21	135.2380952381	
Trichuris suis	Animal	porcine whipworm	85.4	1.9314578707	78.5	1.8948696567	NA	85.4	6.9	0.8388490907	8.0796252927	43.75	14625	4.1650958748	1501.275	3.1764602526	27.7	1.4424797691	0.3243559719		270.5	2.4321672694	510	2.7075701761	82549	4.9167118166	42.1	1.6242820958	0.5363057325	0.4929742389	19.2168	1.2836810702	34218	4.534254622	0.2250210773	0.2448	25.12	1.4000196351	0.32	0.2941451991			392
Spodoptera frugiperda	Animal	armyworm	400	2.6020599913	358	2.5538830266	NA		42	1.6232492904	10.5	32.97	11595	4.064270753	1367.1	3.1358002833	15.851	1.200056666	0.0396275		245	2.3891660844	726	2.8609366207							69.4162	1.8414608357	564623	5.7517585652	0.1735405	0.1939	72.6024	1.8609509773	0.2028	0.181506			
Elephas maximus	Animal	asian elephant	3941.34	3.5956439009	3100	3.4913616938	3941.34	4030	841.34	2.9249715372	21.3465471134																														28	140.7621428571	5
Bursaphelenchus xylophilus	Animal	pine wilt nematode	69	1.8388490907	74.5	1.8721562727	NA	63-75	-5.5		-7.9710144928	40.4	18074	4.2570542779	1300.05	3.1139600556	23.497	1.3710124169	0.3405362319		288.9	2.4607475418	153	2.1846914308							0.9536	-0.0206337576	98120	4.9917575395	0.0138202899	0.0128	16.7327	1.2235660247	0.2246	0.2425028986	6	11.5	13
Oikopleura dioica	Animal		68.46	1.8354368948	70	1.84509804	68.46		-1.54		-2.2494887526		18020	4.2557547866	410.65	2.6134718272	7.4	0.8692317197	0.1080923167								6.4	0.806179974	0.0914285714	0.0934852469													
